id,公司中文简称,行业名称,信用得分,信用等级,公司中文全称,公司英文全称,上市公司经营性质编码,公司成立日期,成立年限,法人代表,注册资本,注册资本货币编码,公司办公地址,主营业务,公司经营范围,existing,recommended,invite
836651,正迪科技,信息传输、软件和信息技术服务业,778,高,广东正迪科技股份有限公司,"Guangdong Kinde Co., Ltd.",私营企业,18/3/2011,8,王建程,42000000,CNY,广东省汕头市汕头市濠江区台商投资区台横三路5号,防伪标签和包装标签的研发、生产及销售,"防伪技术产品研究、开发、推广、销售;防伪产品制造,包装装潢印刷品、其他印刷品印刷(印刷经营许可证有效期至2018年9月27日);计算机软件开发及硬件技术服务;市场营销策划;市场调查;商品信息咨询服务;知识产权代理;增值电信业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
836654,丹海生态,水利、环境和公共设施管理业,583,中,重庆丹海生态环境股份有限公司,null,私营企业,17/2/2009,10,黄选海,32000000,CNY,重庆市北部新区金童路9号2幢7-2,"公司主营业务系通过适当的人为干预,对地表创面、水系水岸、水库、内陆岛等进行拟自然生态修复与治理,实现集治土、理水、生木和生态工法于一体的零维护生态系统,为客户提供包括规划、设计、建设、维护及生态产品研发定制的一站式服务。",从事建筑相关业务(凭资质证执业)、环境污染治理(甲级);园林绿化养护;规划设计咨询;建筑材料(不含危险化学品)、土工合成材料、无纺布及工业用布、金属丝网制品、电子产品(不含电子出版物)、金属材料的研发、生产、销售以及相关的技术咨询和技术转让(以上范围法律、法规禁止经营的不得经营;法律、法规规定应经审批而未获审批前不得经营)。,,,
836661,特利尔,水利、环境和公共设施管理业,607,较高,青岛特利尔环保集团股份有限公司,"Qingdao Clear Environmental Group Co.,Ltd.",私营企业,2/7/2007,12,李瑞国,91347000,CNY,山东省青岛市市南区银川西路67号、69号E座303室,锅炉工程承包与管理和清洁煤燃烧技术的推广和应用。,"环保工程设备及配套设备的生产加工(不在此地生产加工),环保工程设备安装及技术咨询(凭资质经营);工程项目管理及咨询管理服务;土建、施工及工程服务;供热服务;机电工程施工总承包;水煤浆锅炉、煤粉锅炉及配套辅机的研发及销售,水煤浆制浆设备研发及销售;合同能源管理技术咨询服务;节能项目的设计、施工;复合碳浆销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836662,印派森,科学研究和技术服务业,642,较高,上海印派森园林景观股份有限公司,SHANGHAI IMPRESSION LANDSCAPE CORPORATION LTD.,私营企业,15/10/2012,7,陈圣浩,30000000,CNY,上海市闵行区红松东路1116号上海虹桥元一大厦五楼,"园林景观创意设计服务,提供绿化、景观布置方案,花卉与植物制品创意设计,输出创意设计方案。","景观设计、园林绿化设计、建筑装修装饰设计、园林古建筑建设工程专业施工、绿化养护,创意设计服务,从事货物及技术的进出口业务,销售花卉、苗木、工艺礼品、电子设备。【依法须经批准的项目,经相关部门批准后方可开展经营活动】",,,
836666,合德堂,信息传输、软件和信息技术服务业,583,中,合德堂控股(深圳)股份有限公司,"Shenzhen Moik Tech Co., Ltd.",私营企业,21/1/2008,11,朱飞,10000000,CNY,广东省深圳市福田区车公庙天吉大厦(F5.8厂房)5B1-2,单机手机游戏研发及推广。,"一般经营项目:通讯产品、数码电子产品、计算机软硬件的技术开发和销售及其他国内贸易(不含专营、专控、专卖商品);信息咨询(不含限制项目及人才中介服务);经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);创业投资业务;商业信息咨询、财务咨询、投资咨询、企业管理咨询(以上均不含限制项目);投资兴办实业(具体项目另行申报);预包装食品、保健食品的研发。许可经营项目:预包装食品、保健食品的生产及销售;信息服务业务(仅限互联网信息服务业务)。",,,
836671,网博科技,信息传输、软件和信息技术服务业,660,较高,珠海网博信息科技股份有限公司,ZHUHAI NETBOX INFO-TECH CORP.,私营企业,26/7/2006,13,周华雄,20000000,CNY,广东省珠海市吉大白莲路184号立体科技大厦五层(1-13轴),"网络安全审计、网络内容和行为监管等网络信息安全领域产品的设计、开发和销售,并提供相关服务。",开发、销售;计算机软硬件;电脑网络工程(不含上网服务);计算机系统集成;计算机及通讯设备租赁;安全技术防范产品的销售。,,,
836679,科睿特,信息传输、软件和信息技术服务业,645,较高,科睿特软件集团股份有限公司,"Create Software Group Co., Ltd.",私营企业,7/11/2008,11,曾彬,52920000,CNY,江西省赣州市章贡经济开发区人和路章贡区软件产业孵化园,"从事城市信息化软件开发及运营、软硬件集成及实施,以及软件服务平台的开发与运营、软件产业孵化园的建设和运营。","计算机软(硬)件设计、开发、生产、销售、技术研发、技术转让、技术服务;计算机硬件及外部设备、通信设备(不含地面卫星接收设备)、机电设备、办公设备零售;计算机网络工程设计与施工;安全防范工程设计与施工;房屋租赁;电子设备租赁;计算机及通讯设备租赁;其他网络(手机)文化服务(凭有效许可证经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
836683,四达新材,制造业,651,较高,浙江四达新材料股份有限公司,"Zhejiang Sida Compesite Material Co., Ltd.",私营企业,9/12/2009,10,范仕杰,31860000,CNY,浙江省湖州市长兴县泗安镇南华山工业区,SMC/BMC材料及制品的研发、生产与销售。,"不饱和聚酯纤维模塑料、电器绝缘配件(绝缘套管及绝缘塑件)、模具、无纺布的生产、销售,化工产品(除危险化学品、易制毒化学品及专营产品)、水暖器材、建筑材料、玻璃纤维制品、机械电器设备、五金交电、汽车零配件、服装销售;货物进出口、技术进出口;货运(普通货运)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,,
836686,超能国际,批发和零售业,657,较高,深圳市超能国际供应链管理股份有限公司,"Shenzhen Super Engrgy Internation Supply Chain Management Co.,Ltd",私营企业,13/7/2012,7,朱泽侨,180606665,CNY,"广东省深圳市福田区民田路171号新华保险大厦2302,深圳市南山区铜鼓路大冲国际中心5号楼23层",大宗商品(主要是有色金属)贸易服务以及相关供应链管理配套服务。,"供应链管理及相关配套服务(不含限制项目);金属材料、化工产品、通讯产品、数码产品、电子产品的技术开发与销售;黄金、白银的实物销售;兴办实业(具体项目另行申报);国内贸易(不含专营、专控、专卖商品);经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);燃料油购销;混合芳烃、原油、成品油、液化石油、稀释沥青、木材、塑胶粒、石脑油、石油芳烃、化工轻油、润滑油、润滑剂的研发与销售。",,,
836687,亿友慧云,信息传输、软件和信息技术服务业,778,高,江苏亿友慧云软件股份有限公司,"Jiangsu Yeyoo E-Cloud Software Co., Ltd.",私营企业,18/5/2010,9,沈利东,10080000,CNY,江苏省苏州市吴江区苏州河路18号吴江太湖新城科创园内1号楼,软件系统的开发、销售以及软件技术服务。,"软件、网络安全系统开发、销售;软件技术服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
